title,page_type,ai_references,unique_ai_terms,ai_terms_found,last_modified,url
Wikipedia:No original research,Information Page,6,3,"AI-generated, synthetic, AI",2025-10-24T04:19:39Z,https://en.wikipedia.org/wiki/Wikipedia:No_original_research
Wikipedia:Biographies of living persons,Information Page,6,2,"AI-generated, AI",2025-10-27T16:09:10Z,https://en.wikipedia.org/wiki/Wikipedia:Biographies_of_living_persons
Wikipedia:Reliable sources,Guideline,24,10,"artificial intelligence, ChatGPT, AI, generative, language model, chatbot, synthetic, AI-generated, machine learning, ML",2025-10-29T03:08:41Z,https://en.wikipedia.org/wiki/Wikipedia:Reliable_sources
Wikipedia:Citing sources,Information Page,4,2,"bot, automated",2025-10-29T11:33:10Z,https://en.wikipedia.org/wiki/Wikipedia:Citing_sources
Wikipedia:Manual of Style,Guideline,5,2,"bot, automated",2025-10-24T17:36:42Z,https://en.wikipedia.org/wiki/Wikipedia:Manual_of_Style
Wikipedia:Bot policy,Policy,184,3,"bot, automation, automated",2025-08-04T08:45:07Z,https://en.wikipedia.org/wiki/Wikipedia:Bot_policy
Wikipedia:Bots,Bot/Automation Policy,53,2,"bot, automated",2025-07-22T11:34:48Z,https://en.wikipedia.org/wiki/Wikipedia:Bots
Wikipedia:Bot requests,Bot/Automation Policy,58,2,"bot, automation",2025-10-30T12:34:01Z,https://en.wikipedia.org/wiki/Wikipedia:Bot_requests
Wikipedia:AutoWikiBrowser,Information Page,13,2,"bot, automated",2025-10-19T07:29:19Z,https://en.wikipedia.org/wiki/Wikipedia:AutoWikiBrowser
Wikipedia:Content assessment,Project/Assessment Page,9,3,"bot, automated, machine learning",2025-09-19T06:39:53Z,https://en.wikipedia.org/wiki/Wikipedia:Content_assessment
Wikipedia:WikiProject,Project/Assessment Page,1,1,automated,2025-09-09T01:33:42Z,https://en.wikipedia.org/wiki/Wikipedia:WikiProject
Wikipedia:Bureaucrats,Information Page,21,1,bot,2025-08-12T19:59:18Z,https://en.wikipedia.org/wiki/Wikipedia:Bureaucrats
Wikipedia:Oversight,Information Page,1,1,automated,2025-09-11T06:28:26Z,https://en.wikipedia.org/wiki/Wikipedia:Oversight
Wikipedia:Help desk,Help/Community Page,10,4,"bot, chatbot, synthetic, AI",2025-10-30T17:31:29Z,https://en.wikipedia.org/wiki/Wikipedia:Help_desk
Wikipedia:Teahouse,Help/Community Page,36,6,"ChatGPT, AI, generative, language model, bot, AI-generated",2025-10-30T17:16:20Z,https://en.wikipedia.org/wiki/Wikipedia:Teahouse
Wikipedia:Artificial intelligence,Information Page,150,13,"neural network, artificial intelligence, ChatGPT, AI, generative, computer-generated, language model, chatbot, GPT, bot, AI-generated, machine learning, ML",2025-10-29T14:06:28Z,https://en.wikipedia.org/wiki/Wikipedia:Artificial_intelligence
